"Unit","Year","Spawners"
"NorthernYukonR.andtribs.",1985,1676
"NorthernYukonR.andtribs.",1986,3260
"NorthernYukonR.andtribs.",1987,3165
"NorthernYukonR.andtribs.",1988,13420
"NorthernYukonR.andtribs.",1989,5010
"NorthernYukonR.andtribs.",1990,19833
"NorthernYukonR.andtribs.",1991,9260
"NorthernYukonR.andtribs.",1992,6526
"NorthernYukonR.andtribs.",1993,13629
"NorthernYukonR.andtribs.",1994,16192
"NorthernYukonR.andtribs.",1995,9305
"NorthernYukonR.andtribs.",1996,6123
"NorthernYukonR.andtribs.",1997,8593
"NorthernYukonR.andtribs.",1998,5615
"NorthernYukonR.andtribs.",1999,4161
"NorthernYukonR.andtribs.",2000,2475
"NorthernYukonR.andtribs.",2001,6908
"NorthernYukonR.andtribs.",2002,7248
"NorthernYukonR.andtribs.",2003,18310
"NorthernYukonR.andtribs.",2004,11265
"NorthernYukonR.andtribs.",2005,9853
"NorthernYukonR.andtribs.",2006,10127
"NorthernYukonR.andtribs.",2007,5194
"NorthernYukonR.andtribs.",2008,5197
"NorthernYukonR.andtribs.",2009,6676
"NorthernYukonR.andtribs.",2010,3913
"NorthernYukonR.andtribs.",2011,3972
"NorthernYukonR.andtribs.",2012,4214
"NorthernYukonR.andtribs.",2013,429
"NorthernYukonR.andtribs.",2014,4919
"NorthernYukonR.andtribs.",2015,5303
"NorthernYukonR.andtribs.",2016,6792
"NorthernYukonR.andtribs.",2017,5860
"NorthernYukonR.andtribs.",2018,4716
"NorthernYukonR.andtribs.",2019,2263
"NorthernYukonR.andtribs.",2020,1658
"NorthernYukonR.andtribs.",2021,2877
"NorthernYukonR.andtribs.",2022,508
"NorthernYukonR.andtribs.",2023,2008
"NorthernYukonR.andtribs.",2024,2478
"Whiteandtribs.",1985,2246
"Whiteandtribs.",1986,3987
"Whiteandtribs.",1987,2722
"Whiteandtribs.",1988,1757
"Whiteandtribs.",1989,2361
"Whiteandtribs.",1990,1725
"Whiteandtribs.",1991,974
"Whiteandtribs.",1992,3345
"Whiteandtribs.",1993,10316
"Whiteandtribs.",1994,6596
"Whiteandtribs.",1995,4078
"Whiteandtribs.",1996,10503
"Whiteandtribs.",1997,4838
"Whiteandtribs.",1998,2675
"Whiteandtribs.",1999,3764
"Whiteandtribs.",2000,2817
"Whiteandtribs.",2001,4537
"Whiteandtribs.",2002,2996
"Whiteandtribs.",2003,5038
"Whiteandtribs.",2004,3376
"Whiteandtribs.",2005,13885
"Whiteandtribs.",2006,1441
"Whiteandtribs.",2007,3477
"Whiteandtribs.",2008,2085
"Whiteandtribs.",2009,3259
"Whiteandtribs.",2010,1445
"Whiteandtribs.",2011,2332
"Whiteandtribs.",2012,2838
"Whiteandtribs.",2013,157
"Whiteandtribs.",2014,5028
"Whiteandtribs.",2015,5530
"Whiteandtribs.",2016,2612
"Whiteandtribs.",2017,3323
"Whiteandtribs.",2018,2730
"Whiteandtribs.",2019,2396
"Whiteandtribs.",2020,505
"Whiteandtribs.",2021,1281
"Whiteandtribs.",2022,2259
"Whiteandtribs.",2023,1017
"Whiteandtribs.",2024,767
"Pelly",1985,7868
"Pelly",1986,10456
"Pelly",1987,12177
"Pelly",1988,7144
"Pelly",1989,18036
"Pelly",1990,31697
"Pelly",1991,11576
"Pelly",1992,11260
"Pelly",1993,8897
"Pelly",1994,10950
"Pelly",1995,8380
"Pelly",1996,10004
"Pelly",1997,9965
"Pelly",1998,4207
"Pelly",1999,6644
"Pelly",2000,5172
"Pelly",2001,10533
"Pelly",2002,6562
"Pelly",2003,22212
"Pelly",2004,10771
"Pelly",2005,11471
"Pelly",2006,12487
"Pelly",2007,8767
"Pelly",2008,4277
"Pelly",2009,15809
"Pelly",2010,7499
"Pelly",2011,8564
"Pelly",2012,6465
"Pelly",2013,11114
"Pelly",2014,6780
"Pelly",2015,16183
"Pelly",2016,13475
"Pelly",2017,8650
"Pelly",2018,7344
"Pelly",2019,4682
"Pelly",2020,6407
"Pelly",2021,5791
"Pelly",2022,941
"Pelly",2023,1898
"Pelly",2024,1715
"Stewart",1985,6164
"Stewart",1986,5797
"Stewart",1987,3481
"Stewart",1988,3015
"Stewart",1989,4218
"Stewart",1990,5476
"Stewart",1991,4952
"Stewart",1992,3210
"Stewart",1993,2262
"Stewart",1994,5858
"Stewart",1995,7614
"Stewart",1996,4666
"Stewart",1997,5994
"Stewart",1998,2798
"Stewart",1999,2711
"Stewart",2000,1679
"Stewart",2001,5052
"Stewart",2002,4586
"Stewart",2003,3609
"Stewart",2004,3425
"Stewart",2005,2595
"Stewart",2006,6577
"Stewart",2007,3210
"Stewart",2008,2119
"Stewart",2009,5498
"Stewart",2010,2477
"Stewart",2011,2180
"Stewart",2012,877
"Stewart",2013,3244
"Stewart",2014,2682
"Stewart",2015,5594
"Stewart",2016,6304
"Stewart",2017,3484
"Stewart",2018,3081
"Stewart",2019,3732
"Stewart",2020,2183
"Stewart",2021,3105
"Stewart",2022,132
"Stewart",2023,667
"Stewart",2024,2769
"Nordenskiold",1985,3112
"Nordenskiold",1986,1138
"Nordenskiold",1987,572
"Nordenskiold",1988,1061
"Nordenskiold",1989,608
"Nordenskiold",1990,540
"Nordenskiold",1991,539
"Nordenskiold",1992,500
"Nordenskiold",1993,1058
"Nordenskiold",1994,2747
"Nordenskiold",1995,4344
"Nordenskiold",1996,3761
"Nordenskiold",1997,1131
"Nordenskiold",1998,2399
"Nordenskiold",1999,1903
"Nordenskiold",2000,1571
"Nordenskiold",2001,718
"Nordenskiold",2002,1254
"Nordenskiold",2003,1459
"Nordenskiold",2004,2366
"Nordenskiold",2005,1167
"Nordenskiold",2006,3848
"Nordenskiold",2007,1978
"Nordenskiold",2008,672
"Nordenskiold",2009,1799
"Nordenskiold",2010,2302
"Nordenskiold",2011,623
"Nordenskiold",2012,417
"Nordenskiold",2013,1
"Nordenskiold",2014,7481
"Nordenskiold",2015,1354
"Nordenskiold",2016,4867
"Nordenskiold",2017,3443
"Nordenskiold",2018,585
"Nordenskiold",2019,3138
"Nordenskiold",2020,303
"Nordenskiold",2021,1330
"Nordenskiold",2022,660
"Nordenskiold",2023,1524
"Nordenskiold",2024,2085
"YukonR.Teslinheadwaters",1985,8320
"YukonR.Teslinheadwaters",1986,9767
"YukonR.Teslinheadwaters",1987,4298
"YukonR.Teslinheadwaters",1988,2991
"YukonR.Teslinheadwaters",1989,3544
"YukonR.Teslinheadwaters",1990,4692
"YukonR.Teslinheadwaters",1991,5902
"YukonR.Teslinheadwaters",1992,9860
"YukonR.Teslinheadwaters",1993,9235
"YukonR.Teslinheadwaters",1994,5167
"YukonR.Teslinheadwaters",1995,7756
"YukonR.Teslinheadwaters",1996,12162
"YukonR.Teslinheadwaters",1997,7146
"YukonR.Teslinheadwaters",1998,3670
"YukonR.Teslinheadwaters",1999,6440
"YukonR.Teslinheadwaters",2000,2911
"YukonR.Teslinheadwaters",2001,7971
"YukonR.Teslinheadwaters",2002,1809
"YukonR.Teslinheadwaters",2003,4031
"YukonR.Teslinheadwaters",2004,3725
"YukonR.Teslinheadwaters",2005,8850
"YukonR.Teslinheadwaters",2006,1861
"YukonR.Teslinheadwaters",2007,3844
"YukonR.Teslinheadwaters",2008,4483
"YukonR.Teslinheadwaters",2009,5642
"YukonR.Teslinheadwaters",2010,6178
"YukonR.Teslinheadwaters",2011,4493
"YukonR.Teslinheadwaters",2012,3548
"YukonR.Teslinheadwaters",2013,2999
"YukonR.Teslinheadwaters",2014,6980
"YukonR.Teslinheadwaters",2015,5876
"YukonR.Teslinheadwaters",2016,13096
"YukonR.Teslinheadwaters",2017,12513
"YukonR.Teslinheadwaters",2018,7472
"YukonR.Teslinheadwaters",2019,6482
"YukonR.Teslinheadwaters",2020,7310
"YukonR.Teslinheadwaters",2021,2282
"YukonR.Teslinheadwaters",2022,353
"YukonR.Teslinheadwaters",2023,3236
"YukonR.Teslinheadwaters",2024,4104
"MiddleYukonR.andtribs.",1985,9030
"MiddleYukonR.andtribs.",1986,10178
"MiddleYukonR.andtribs.",1987,10197
"MiddleYukonR.andtribs.",1988,6829
"MiddleYukonR.andtribs.",1989,18718
"MiddleYukonR.andtribs.",1990,11553
"MiddleYukonR.andtribs.",1991,15839
"MiddleYukonR.andtribs.",1992,9462
"MiddleYukonR.andtribs.",1993,9182
"MiddleYukonR.andtribs.",1994,11941
"MiddleYukonR.andtribs.",1995,21121
"MiddleYukonR.andtribs.",1996,17020
"MiddleYukonR.andtribs.",1997,25906
"MiddleYukonR.andtribs.",1998,4617
"MiddleYukonR.andtribs.",1999,9998
"MiddleYukonR.andtribs.",2000,7480
"MiddleYukonR.andtribs.",2001,14925
"MiddleYukonR.andtribs.",2002,19464
"MiddleYukonR.andtribs.",2003,22572
"MiddleYukonR.andtribs.",2004,11525
"MiddleYukonR.andtribs.",2005,14880
"MiddleYukonR.andtribs.",2006,17898
"MiddleYukonR.andtribs.",2007,7064
"MiddleYukonR.andtribs.",2008,9885
"MiddleYukonR.andtribs.",2009,12416
"MiddleYukonR.andtribs.",2010,5380
"MiddleYukonR.andtribs.",2011,11057
"MiddleYukonR.andtribs.",2012,4087
"MiddleYukonR.andtribs.",2013,4649
"MiddleYukonR.andtribs.",2014,19104
"MiddleYukonR.andtribs.",2015,26108
"MiddleYukonR.andtribs.",2016,13637
"MiddleYukonR.andtribs.",2017,18527
"MiddleYukonR.andtribs.",2018,16179
"MiddleYukonR.andtribs.",2019,11924
"MiddleYukonR.andtribs.",2020,6882
"MiddleYukonR.andtribs.",2021,7591
"MiddleYukonR.andtribs.",2022,4460
"MiddleYukonR.andtribs.",2023,2613
"MiddleYukonR.andtribs.",2024,4790
"UpperYukonR.",1985,2023
"UpperYukonR.",1986,2509
"UpperYukonR.",1987,1640
"UpperYukonR.",1988,15815
"UpperYukonR.",1989,6135
"UpperYukonR.",1990,5217
"UpperYukonR.",1991,2778
"UpperYukonR.",1992,4089
"UpperYukonR.",1993,2215
"UpperYukonR.",1994,1813
"UpperYukonR.",1995,2632
"UpperYukonR.",1996,4421
"UpperYukonR.",1997,8312
"UpperYukonR.",1998,11919
"UpperYukonR.",1999,2543
"UpperYukonR.",2000,952
"UpperYukonR.",2001,2022
"UpperYukonR.",2002,1792
"UpperYukonR.",2003,4382
"UpperYukonR.",2004,5106
"UpperYukonR.",2005,729
"UpperYukonR.",2006,2906
"UpperYukonR.",2007,301
"UpperYukonR.",2008,1663
"UpperYukonR.",2009,8850
"UpperYukonR.",2010,895
"UpperYukonR.",2011,8235
"UpperYukonR.",2012,7999
"UpperYukonR.",2013,3477
"UpperYukonR.",2014,703
"UpperYukonR.",2015,4543
"UpperYukonR.",2016,2120
"UpperYukonR.",2017,5514
"UpperYukonR.",2018,5746
"UpperYukonR.",2019,3030
"UpperYukonR.",2020,3003
"UpperYukonR.",2021,3772
"UpperYukonR.",2022,614
"UpperYukonR.",2023,374
"UpperYukonR.",2024,3124
"Big.Salmon",1985,4010
"Big.Salmon",1986,4511
"Big.Salmon",1987,4517
"Big.Salmon",1988,3021
"Big.Salmon",1989,8304
"Big.Salmon",1990,5067
"Big.Salmon",1991,7033
"Big.Salmon",1992,4184
"Big.Salmon",1993,4079
"Big.Salmon",1994,5308
"Big.Salmon",1995,9347
"Big.Salmon",1996,7546
"Big.Salmon",1997,11531
"Big.Salmon",1998,2065
"Big.Salmon",1999,4432
"Big.Salmon",2000,3322
"Big.Salmon",2001,6614
"Big.Salmon",2002,8657
"Big.Salmon",2003,10017
"Big.Salmon",2004,5112
"Big.Salmon",2005,5618
"Big.Salmon",2006,7308
"Big.Salmon",2007,4506
"Big.Salmon",2008,1329
"Big.Salmon",2009,9261
"Big.Salmon",2010,3817
"Big.Salmon",2011,5156
"Big.Salmon",2012,2584
"Big.Salmon",2013,3242
"Big.Salmon",2014,6321
"Big.Salmon",2015,10078
"Big.Salmon",2016,6761
"Big.Salmon",2017,5672
"Big.Salmon",2018,5159
"Big.Salmon",2019,3874
"Big.Salmon",2020,1635
"Big.Salmon",2021,1958
"Big.Salmon",2022,1978
"Big.Salmon",2023,1795
"Big.Salmon",2024,1899
"Aggregate",1985,44448
"Aggregate",1986,51603
"Aggregate",1987,42768
"Aggregate",1988,55054
"Aggregate",1989,66934
"Aggregate",1990,85800
"Aggregate",1991,58851
"Aggregate",1992,52436
"Aggregate",1993,60871
"Aggregate",1994,66571
"Aggregate",1995,74577
"Aggregate",1996,76206
"Aggregate",1997,83416
"Aggregate",1998,39966
"Aggregate",1999,42597
"Aggregate",2000,28377
"Aggregate",2001,59279
"Aggregate",2002,54369
"Aggregate",2003,91631
"Aggregate",2004,56670
"Aggregate",2005,69048
"Aggregate",2006,64454
"Aggregate",2007,38342
"Aggregate",2008,31711
"Aggregate",2009,69210
"Aggregate",2010,33906
"Aggregate",2011,46612
"Aggregate",2012,33029
"Aggregate",2013,29313
"Aggregate",2014,59998
"Aggregate",2015,80568
"Aggregate",2016,69665
"Aggregate",2017,66986
"Aggregate",2018,53012
"Aggregate",2019,41521
"Aggregate",2020,29885
"Aggregate",2021,29987
"Aggregate",2022,11904
"Aggregate",2023,15132
"Aggregate",2024,23732
"Aggregate (Connors et al. 2022)",1985,39082
"Aggregate (Connors et al. 2022)",1986,49804
"Aggregate (Connors et al. 2022)",1987,33795
"Aggregate (Connors et al. 2022)",1988,49442
"Aggregate (Connors et al. 2022)",1989,60545
"Aggregate (Connors et al. 2022)",1990,85985
"Aggregate (Connors et al. 2022)",1991,51662
"Aggregate (Connors et al. 2022)",1992,46024
"Aggregate (Connors et al. 2022)",1993,55346
"Aggregate (Connors et al. 2022)",1994,64047
"Aggregate (Connors et al. 2022)",1995,69485
"Aggregate (Connors et al. 2022)",1996,76425
"Aggregate (Connors et al. 2022)",1997,83707
"Aggregate (Connors et al. 2022)",1998,35520
"Aggregate (Connors et al. 2022)",1999,47002
"Aggregate (Connors et al. 2022)",2000,21345
"Aggregate (Connors et al. 2022)",2001,68219
"Aggregate (Connors et al. 2022)",2002,48542
"Aggregate (Connors et al. 2022)",2003,94909
"Aggregate (Connors et al. 2022)",2004,55433
"Aggregate (Connors et al. 2022)",2005,69335
"Aggregate (Connors et al. 2022)",2006,64261
"Aggregate (Connors et al. 2022)",2007,36229
"Aggregate (Connors et al. 2022)",2008,33885
"Aggregate (Connors et al. 2022)",2009,64971
"Aggregate (Connors et al. 2022)",2010,32250
"Aggregate (Connors et al. 2022)",2011,47008
"Aggregate (Connors et al. 2022)",2012,32328
"Aggregate (Connors et al. 2022)",2013,28488
"Aggregate (Connors et al. 2022)",2014,63370
"Aggregate (Connors et al. 2022)",2015,82695
"Aggregate (Connors et al. 2022)",2016,69164
"Aggregate (Connors et al. 2022)",2017,69387
"Aggregate (Connors et al. 2022)",2018,54595
"Aggregate (Connors et al. 2022)",2019,42193
"Aggregate (Connors et al. 2022)",2020,30646
"Aggregate (Connors et al. 2022)",2021,31509
"Aggregate (Connors et al. 2022)",2022,12009
"Aggregate (Connors et al. 2022)",2023,14576
"Aggregate (Connors et al. 2022)",2024,24184
